date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:34:30	37129/37129	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-message.html	grandetest.com/theme/html-careerup/page-candidates-message.html	(from https://grandetest.com/theme/html-careerup/)
08:34:31	31905/31905	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-review.html	grandetest.com/theme/html-careerup/page-candidates-review.html	(from https://grandetest.com/theme/html-careerup/)
08:34:32	30180/30180	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-job-alert.html	grandetest.com/theme/html-careerup/page-candidates-job-alert.html	(from https://grandetest.com/theme/html-careerup/)
08:34:33	27997/27997	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-candidates-change-password.html	grandetest.com/theme/html-careerup/page-candidates-change-password.html	(from https://grandetest.com/theme/html-careerup/)
08:34:34	44114/44114	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:20:23%20GMT	https://grandetest.com/theme/html-careerup/page-about.html	grandetest.com/theme/html-careerup/page-about.html	(from https://grandetest.com/theme/html-careerup/)
08:34:35	36755/36755	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:32:22%20GMT	https://grandetest.com/theme/html-careerup/page-blog-v1.html	grandetest.com/theme/html-careerup/page-blog-v1.html	(from https://grandetest.com/theme/html-careerup/)
08:34:36	39010/39010	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:34:19%20GMT	https://grandetest.com/theme/html-careerup/page-blog-grid.html	grandetest.com/theme/html-careerup/page-blog-grid.html	(from https://grandetest.com/theme/html-careerup/)
08:34:37	37749/37749	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:35:29%20GMT	https://grandetest.com/theme/html-careerup/page-blog-list.html	grandetest.com/theme/html-careerup/page-blog-list.html	(from https://grandetest.com/theme/html-careerup/)
08:34:38	38519/38519	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:40:58%20GMT	https://grandetest.com/theme/html-careerup/page-blog-single.html	grandetest.com/theme/html-careerup/page-blog-single.html	(from https://grandetest.com/theme/html-careerup/)
08:34:39	32133/32133	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:14:12%20GMT	https://grandetest.com/theme/html-careerup/page-contact.html	grandetest.com/theme/html-careerup/page-contact.html	(from https://grandetest.com/theme/html-careerup/)
08:34:40	28843/28843	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-error.html	grandetest.com/theme/html-careerup/page-error.html	(from https://grandetest.com/theme/html-careerup/)
08:34:41	36863/36863	---MCZ	200	added ('OK')	text/html	date:Tue,%2031%20Dec%202019%2015:07:38%20GMT	https://grandetest.com/theme/html-careerup/page-faq.html	grandetest.com/theme/html-careerup/page-faq.html	(from https://grandetest.com/theme/html-careerup/)
08:34:42	30208/30208	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-how-it-works.html	grandetest.com/theme/html-careerup/page-how-it-works.html	(from https://grandetest.com/theme/html-careerup/)
08:34:43	6199/6199	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:38%20GMT	https://grandetest.com/theme/html-careerup/page-invoice.html	grandetest.com/theme/html-careerup/page-invoice.html	(from https://grandetest.com/theme/html-careerup/)
08:34:44	34901/34901	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:46%20GMT	https://grandetest.com/theme/html-careerup/page-log-reg.html	grandetest.com/theme/html-careerup/page-log-reg.html	(from https://grandetest.com/theme/html-careerup/)
08:34:45	30447/30447	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-pricing.html	grandetest.com/theme/html-careerup/page-pricing.html	(from https://grandetest.com/theme/html-careerup/)
08:34:46	31509/31509	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:44%20GMT	https://grandetest.com/theme/html-careerup/page-terms-and-policies.html	grandetest.com/theme/html-careerup/page-terms-and-policies.html	(from https://grandetest.com/theme/html-careerup/)
08:34:47	46076/46076	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/page-ui-element.html	grandetest.com/theme/html-careerup/page-ui-element.html	(from https://grandetest.com/theme/html-careerup/)
08:34:47	4721/4721	---M--	200	added ('OK')	image/png	etag:%2202f4ee777e8d41:0%22	https://grandetest.com/theme/html-careerup/images/header-logo.png	grandetest.com/theme/html-careerup/images/header-logo.png	(from https://grandetest.com/theme/html-careerup/)
08:34:49	61343/61343	---M--	200	added ('OK')	image/png	etag:%220c8f54838f4d41:0%22	https://grandetest.com/theme/html-careerup/images/home/home2_bg.png	grandetest.com/theme/html-careerup/images/home/home2_bg.png	(from https://grandetest.com/theme/html-careerup/)
08:34:50	1509/1509	---M--	200	added ('OK')	image/jpeg	etag:%22035729638f4d41:0%22	https://grandetest.com/theme/html-careerup/images/partners/1.jpg	grandetest.com/theme/html-careerup/images/partners/1.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:51	1236/1236	---M--	200	added ('OK')	image/jpeg	etag:%2208fd49838f4d41:0%22	https://grandetest.com/theme/html-careerup/images/partners/2.jpg	grandetest.com/theme/html-careerup/images/partners/2.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:52	1630/1630	---M--	200	added ('OK')	image/jpeg	etag:%22016689c38f4d41:0%22	https://grandetest.com/theme/html-careerup/images/partners/3.jpg	grandetest.com/theme/html-careerup/images/partners/3.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:53	1270/1270	---M--	200	added ('OK')	image/jpeg	etag:%22070ca9e38f4d41:0%22	https://grandetest.com/theme/html-careerup/images/partners/4.jpg	grandetest.com/theme/html-careerup/images/partners/4.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:54	30831/30831	---M--	200	added ('OK')	image/jpeg	etag:%220b6e1ea77e8d41:0%22	https://grandetest.com/theme/html-careerup/images/service/9.jpg	grandetest.com/theme/html-careerup/images/service/9.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:55	38089/38089	---M--	200	added ('OK')	image/jpeg	etag:%220e312ec77e8d41:0%22	https://grandetest.com/theme/html-careerup/images/service/10.jpg	grandetest.com/theme/html-careerup/images/service/10.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:56	31977/31977	---M--	200	added ('OK')	image/jpeg	etag:%220b6e1ea77e8d41:0%22	https://grandetest.com/theme/html-careerup/images/service/11.jpg	grandetest.com/theme/html-careerup/images/service/11.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:57	32553/32553	---M--	200	added ('OK')	image/jpeg	etag:%220b6e1ea77e8d41:0%22	https://grandetest.com/theme/html-careerup/images/service/12.jpg	grandetest.com/theme/html-careerup/images/service/12.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:58	27484/27484	---M--	200	added ('OK')	image/jpeg	etag:%220b6e1ea77e8d41:0%22	https://grandetest.com/theme/html-careerup/images/service/13.jpg	grandetest.com/theme/html-careerup/images/service/13.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:59	27615/27615	---M--	200	added ('OK')	image/jpeg	etag:%220b6e1ea77e8d41:0%22	https://grandetest.com/theme/html-careerup/images/service/14.jpg	grandetest.com/theme/html-careerup/images/service/14.jpg	(from https://grandetest.com/theme/html-careerup/)
08:34:59	7261/7261	---M--	200	added ('OK')	image/jpeg	etag:%2205c7fe877e8d41:0%22	https://grandetest.com/theme/html-careerup/images/team/1.jpg	grandetest.com/theme/html-careerup/images/team/1.jpg	(from https://grandetest.com/theme/html-careerup/)
08:35:00	492/492	---M--	200	added ('OK')	image/png	etag:%220792b9339f4d41:0%22	https://grandetest.com/theme/html-careerup/images/resource/turkey.png	grandetest.com/theme/html-careerup/images/resource/turkey.png	(from https://grandetest.com/theme/html-careerup/)
